"STRATUM","SCHOOLID","StIDStd","BIRTHMONTH","BIRTHYEAR","ESCS","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV1MATH_LEVEL","PV2MATH_LEVEL","PV3MATH_LEVEL","PV4MATH_LEVEL","PV5MATH_LEVEL","STATE","GEOLOC","GENDER","INDIG","ESCS_Q","ST29Q01","ST29Q03","ST29Q04","ST29Q06","ST29Q02","ST29Q05","ST29Q07","ST29Q08","ST42Q02","ST42Q04","ST42Q06","ST42Q07","ST42Q09","ST37Q01","ST37Q02","ST37Q03","ST37Q04","ST37Q05","ST37Q06","ST37Q07","ST37Q08","ST91Q01","ST91Q02","ST91Q03","ST91Q04","ST91Q05","ST91Q06","ST43Q01","ST43Q02","ST43Q03","ST43Q04","ST43Q05","ST43Q06","ST44Q01","ST44Q03","ST44Q04","ST44Q05","ST44Q07","ST44Q08","ST42Q01","ST42Q03","ST42Q05","ST42Q08","ST42Q10","ST35Q01","ST35Q02","ST35Q03","ST35Q04","ST35Q05","ST35Q06"
"AUS0308",389,7186,4,1997,-0.64,483.1048,438.7054,458.1788,469.8629,417.6741,4,3,3,3,2,"NSW","Provincial","Male","Non-indigenous",1,2,2,3,2,1,2,2,2,3,2,2,2,2,1,1,1,1,1,1,2,2,1,1,3,2,2,3,1,1,4,4,1,3,4,4,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3
"AUS0308",389,7189,8,1996,0.4,441.5875,478.1975,481.3133,454.8294,521.0391,3,3,3,3,4,"NSW","Provincial","Male","Non-indigenous",3,4,3,3,1,1,1,1,1,2,3,4,4,4,1,4,4,2,2,4,2,3,1,1,4,4,4,4,1,1,3,4,4,3,2,4,1,2,3,2,4,4,4,3,3,2,1,3,1,1,1
"AUS0308",389,7190,1,1997,0.49,522.9086,537.7084,550.9503,538.4873,540.8241,4,4,5,4,4,"NSW","Provincial","Male","Non-indigenous",3,2,2,2,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3,3,2,4,1,1,3,3,2,4,4,4,4,4,3,3,4,4,3,4,3,2,2,3,1,1,2
"AUS0307",390,7195,5,1996,-0.03,354.0349,329.1089,395.3186,364.1611,347.8034,1,1,2,2,1,"NSW","Urban","Female","Non-indigenous",2,3,3,3,3,3,3,3,3,1,4,4,4,4,2,3,4,4,4,4,4,4,2,2,3,2,2,2,2,2,3,2,3,2,1,2,2,1,1,1,2,2,1,4,1,2,3,3,2,2,2
"AUS0307",390,7201,11,1996,-0.4,342.195,337.5214,321.1637,329.732,288.4484,1,1,1,1,1,"NSW","Urban","Female","Non-indigenous",2,4,4,4,3,2,2,1,1,2,3,3,4,4,2,2,2,2,2,3,3,3,1,1,2,2,4,4,1,1,2,1,1,2,2,1,2,2,2,2,2,3,3,3,1,2,2,3,1,1,2
"AUS0307",390,7202,3,1997,0.44,470.7197,494.0879,453.5831,419.3099,416.1941,3,4,3,2,2,"NSW","Urban","Female","Non-indigenous",3,4,4,4,4,2,2,2,3,2,3,4,4,3,2,3,2,1,3,3,3,3,1,2,3,3,1,3,2,2,3,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2
"AUS0307",390,7205,2,1997,0.98,458.8799,444.0801,415.2594,453.4273,448.7537,3,3,2,3,3,"NSW","Urban","Female","Non-indigenous",4,4,4,4,4,1,2,3,3,3,2,3,3,3,1,2,3,1,2,3,1,4,1,3,2,1,3,4,2,3,2,1,2,3,3,1,3,1,1,2,1,2,2,2,2,2,2,4,2,2,3
"AUS0307",390,7208,7,1996,-0.03,437.9265,451.9473,475.3155,476.0944,462.8525,3,3,3,3,3,"NSW","Urban","Male","Non-indigenous",2,2,2,2,2,2,2,2,2,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,4,3,1,4,1,1,1,1,1,1,3,4,4,4,4,4,4,3,3,3,3,1,1,1,1,1,1
"AUS0307",390,7212,12,1996,1.08,486.2985,508.8877,487.8564,455.9199,465.2672,4,4,4,3,3,"NSW","Urban","Male","Non-indigenous",4,4,4,4,4,3,4,4,4,3,2,2,3,2,1,1,1,1,1,1,1,1,2,2,3,3,1,3,2,2,3,2,2,3,3,2,2,2,2,3,2,3,3,4,3,2,2,3,3,3,2
"AUS0307",390,7213,4,1997,-1.28,489.8816,571.67,524.9338,504.6814,503.1235,4,5,4,4,4,"NSW","Urban","Female","Non-indigenous",1,3,3,3,3,1,1,1,3,2,3,2,3,3,2,2,3,3,1,3,1,3,1,1,2,1,1,3,1,1,2,1,1,3,2,3,2,2,3,3,1,3,3,3,2,2,2,4,1,1,3
"AUS0617",391,7214,2,1997,-0.94,422.4256,399.0575,440.3412,403.7311,389.7102,3,2,3,2,2,"WA","Urban","Female","Non-indigenous",1,2,3,3,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,3,3,2,3,3,2,1,2,2,3,2,2,2
"AUS0617",391,7219,3,1997,-0.57,421.5688,396.6428,416.8952,431.695,402.0953,3,2,2,3,2,"WA","Urban","Male","Non-indigenous",1,2,2,2,2,1,1,2,1,3,3,2,2,4,3,3,3,3,3,3,3,3,1,3,2,1,1,2,1,1,2,1,1,1,3,3,3,1,1,3,1,2,2,3,1,4,4,4,1,1,2
"AUS0617",391,7220,3,1997,-0.94,393.0597,393.0597,370.4705,378.2599,363.46,2,2,2,2,2,"WA","Urban","Female","Non-indigenous",1,3,3,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,4,3,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,3,2,2,3,2,2,2,2,3,3,2,2
"AUS0617",391,7221,4,1997,0.02,352.3212,371.0157,381.9209,381.1419,385.8155,1,2,2,2,2,"WA","Urban","Male","Non-indigenous",2,4,4,4,4,3,3,3,3,1,3,3,4,4,2,2,3,2,2,3,3,3,2,2,2,1,2,3,3,2,3,1,2,3,1,2,3,2,1,2,2,3,3,3,3,2,2,4,2,2,3
